"%s and greater","%s , و اكبر"
"Advanced Search","بحث متقدم"
"All","الكل"
"Applies for ""Like"" Search type only","ينطبق على ""مثل"" نوع البحث فقط"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","خارطة موقع منشأة تلقائيا"
"Catalog Advanced Search","بحث متقدم فى الموقع"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","لاأرى ما كنت تبحث عنه"
"Go","اذهب"
"Go to Home Page","العودة الى الصفحة الرئيسية"
"Grid","شبكة"
"Home","الرئيسية"
"List","قائمة"
"Maximum Query Length","الحد الأقصى لطول الإستعلام"
"Maximum Query Words Count","الحد الأقصى لعدد الكلمات في الاستعلام"
"Maximum Search query  length is %s. Your query was cut.","الحد الأقصى لطول الاستعلام هو %s. استعلامك تم اقتطاعه."
"Minimal Query Length","أدنى طول للاستعلام"
"Modify your search","تعديل البحث"
"No","لا"
"No items were found using the following search criteria.","لم يتم العثور على العناصر باستخدام معايير البحث التالية."
"Please enter ""0"" to enable layered navigation for any number of results","رجاءً ادخل ""0"" لتمكين طبقات الاستعراض لأي عدد من نتائج"
"Popular Search Terms","كلمات البحث الشائعة"
"Popular search terms","كلمات البحث الشائعة"
"Relevance","صلة"
"Required Fields","حقول مطلوبة"
"Results","نتائج"
"Search","بحث"
"Search Settings","اعدادات البحث"
"Search Site","بحث بالموقع"
"Search Terms","كلمات البحث"
"Search Type","نوع البحث"
"Search entire store here...","ابحث فى المتجر بالكامل هنا..."
"Search results for '%s'","نتائج البحث عن '%s'"
"Search results for: '%s'","نتائج البحث عن: '%s'"
"Subscribe to Feed","اشتراك في الخلاصات"
"There are no search terms available.","لا يوجد كلمات بحث متاحة الآن."
"Yes","نعم"
"You have to specify at least one search term","يجب تخصيص كلمة بحث واحدة على الأقل"
"Your search returns no results.","لا يوجد نتائج لبحثك."
"up to %s","اعلى الى %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d صنف(s)</strong> تم العثور عليه باستخدام معايير البحث التالية"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
