"# of Use","عدد مرات الإستخدام"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s منتج"
"(Copy data from: %s)","(انسخ البيانات من : %s)"
"(Will make search for the query above return results for this search.)","(وسوف تقدم للبحث عن الاستفسار اعلاه اظهار نتائج لهذا البحث.)"
"* Required Fields","* بيانات مطلوبة"
"-- Please Select --","--يرجى الاختيار--"
"A name is required","يجب إدخال الإسم"
"ALL GROUPS","جميع المجموعات"
"AM","صباحاً"
"Action","الإجراء"
"Add Attribute","إضافة صفة"
"Add Design Change","أضف تغيير تصميم"
"Add Group","Yضافة مجموعة"
"Add Items to Cart","إضافة منتجات إلى سلة التسوق"
"Add New","أضف جديد"
"Add New Attribute","إضافة صفة جديدة"
"Add New Attribute Set","أضف مجموعة صفات جديدة"
"Add New Group","أضف مجموعة جديدة"
"Add New Images","أضف صور جديدة"
"Add New Option","أضف خيار جديد"
"Add New Row","أضف سطر جديد"
"Add New Search Term","أضف كلمة بحث جديدة"
"Add New Set","أضف مجموعة جديدة"
"Add Option","أضف خيار"
"Add Product","أضف منتج"
"Add Product To Websites","أضف منتج"
"Add Root Category","أضف تصنيف رئيسي"
"Add Subcategory","أضف تصنيف فرعي"
"Add Tax","أضف ضريبة"
"Add Tier","أضف أسعاء خاصة بالكميات"
"Add to Cart","أضف إلى سلة التسوق"
"Add to Compare","أضف للمقارنة"
"Add to My Wishlist","أضف إلى قائمة أمنياتي"
"Add to Wishlist","أضف إلى قائمة الأمنيات"
"Additional Information","معلومات إضافية"
"All","الكل"
"All Product Types","كل أنواع المنتجات"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","سيتم حذف جميع المنتجات في هذه المجموعة، هل أنت متأكد أنك تريد حذف هذه المجموعة؟"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","أنواع الملفات المسموح بها"
"Allowed file extensions to upload","أنواع الملفات المسموح بها للتحميل"
"Amount","كمية"
"Apply To","تطبيق على"
"Apply To Configurable/Grouped Product","Apply To Configurable/Grouped Product"
"Approved","موافق عليه"
"Are you sure you want to delete this category?","هل أنت متأكد من حذف هذا التصنيف؟"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","هل أنت متأكد أنك تريد إزالة هذا المنتج قائمة المقارنة؟"
"Are you sure?","هل أنت متأكد؟"
"As low as:","أقل سعر:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","منتجات ذات علاقة"
"Attrib. Set Name","اسم مجموعة الصفات"
"Attribute Code","رمز الصفة"
"Attribute Information","معلومات الصفة"
"Attribute Label","علامة الصفة"
"Attribute Model","موديل الصفة"
"Attribute Name:","اسم الصفة:"
"Attribute Properties","خصائص الصفة"
"Attribute Set","مجموعة الصفة"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Attribute model not defined"
"Attribute with the same code already exists","Attribute with the same code already exists"
"Attributes","الصفات"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","إنشاء تلقائي"
"Availability","توافر"
"Availability: In stock.","التوافر: متوفر"
"Availability: Out of stock.","التوافر: غير متوفر"
"Back","رجوع"
"Backend Model","Backend Model"
"Backend Table","Backend Table"
"Backend Table Title","Backend Table Title"
"Backorders","طلب مؤجل"
"Base directory to upload image file is not specified","Base directory to upload image file is not specified"
"Based On","بناءً على"
"Best Value","أفضل قيمة"
"Block after Info Column","Block after Info Column"
"Bottom/Left","أسفل/يسار"
"Bottom/Right","أسفل/يمين"
"Browse By","استعراض بواسطة"
"Buy %1$s for %2$s","اشتر %1$s مقابل %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","اشتر %1$s مقابل %2$s (%3$s شاملة الضريبة)"
"Buy %1$s for %2$s each","اشتر %1$s مقابل %2$s لكل واحدة"
"Can be used only with catalog input type Dropdown","Can be used only with catalog input type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","صفة منتج سلة التسوق"
"Catalog","كاتالوج"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Catalog Price Scope","نطاق أسعار الكاتالوج"
"Catalog Section","قسم الكاتالوج"
"Catalog, Search","كاتالوج، بحث"
"Categories","تصنيفات"
"Categories Sitemap","خريطة الموقع للتصنيفات"
"Category","تصنيف"
"Category API","Category API"
"Category Data","بيانات التصنيف"
"Category Navigation:","تصفح التصنيف:"
"Category Products","تصنيف المنتجات"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","Category delete error"
"Category deleted","Category deleted"
"Category move error","Category move error"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Category saved"
"Change","تغيير"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","تغيير الحالة"
"Check items to add to the cart or","حدد الأصناف لإضافتها إلى سلة التسوق أو"
"Choose an Option...","اختر خيار..."
"Choose option...","اختر خيار..."
"Clear All","مسح الكل"
"Clear All Items","حذف جميع المنتجات"
"Close Window","أغلق النافذة"
"Collapse All","Collapse All"
"Comparable","قابل للمقارنة"
"Comparable on Front-end","Comparable on Front-end"
"Compare Items","مقارنة الأصناف"
"Compare Products","مقارنة المنتجات"
"Compare Products (%d)","مقارنة المنتجات (%d)"
"Compare Products - %d Items","مقارنة المنتجات - %d أصناف"
"Compare Products List","قائمة مقارنة المنتجات"
"Compare list successfully cleared","تم مسح قائمة المقارنة بنجاح"
"Conditions Combination","الشروط المدمجة"
"Configurable Product","منتج قابل للتكييف"
"Configurable Product Settings","Configurable Product Settings"
"Continue","استمرار"
"Copy From Configurable","Copy From Configurable"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","Create Empty"
"Create Product Settings","Create Product Settings"
"Create Simple Associated Product","Create Simple Associated Product"
"Create new category","Create new category"
"Create new product","Create new product"
"Cross-sells","Cross-sells"
"Currently Shopping by","التسوق الحالي عن طريق"
"Custom Design","Custom Design"
"Custom Options","Custom Options"
"Customer Group","Customer Group"
"Customers Reviews","آراء الزبائن"
"Customers Tagged Product","Customers Tagged Product"
"Customers for alert %s was successfuly added to queue","Customers for alert %s was successfuly added to queue"
"Data Type for Saving in Database","Data Type for Saving in Database"
"Date","التاريخ"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","تاريخ الاشتراك"
"Date fields order","ترتيب حقول التاريخ"
"Datetime","وقت التاريخ"
"Decimal","عشري"
"Decimal Number","رقم عشري"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Qty","Default Qty"
"Default Values","Default Values"
"Default price","السعر الإفتراضي"
"Default value","القيمة الإفتراضية"
"Delete","حذف"
"Delete Attribute","Delete Attribute"
"Delete Attribute Set","Delete Attribute Set"
"Delete Category","Delete Category"
"Delete Option","Delete Option"
"Delete Row","Delete Row"
"Delete Search","حذف بحث"
"Delete Selected Group","Delete Selected Group"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Depends on design theme"
"Design","تصميم"
"Disabled","غير فعال"
"Display in Suggested Terms","Display in Suggested Terms"
"Double click on a group to rename it","Double click on a group to rename it"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Dropdown","منسدلة"
"Duplicate","تكرار"
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","تحرير"
"Edit Attribute Set '%s'","Edit Attribute Set '%s'"
"Edit Product Attribute","Edit Product Attribute"
"Edit Product Attribute ""%s""","Edit Product Attribute ""%s"""
"Edit Search","تحرير بحث"
"Edit Search '%s'","تحرير بحث '%s'"
"Email","بريد إلكتروني"
"Email to a Friend","المشاركة مع صديق على البريد الإلكتروني"
"Empty","فارغ"
"Enabled","فعال"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Error while adding customers for %s alert. Message: %s","Error while adding customers for %s alert. Message: %s"
"Error while saving this group. Group with the same name already exists.","Error while saving this group. Group with the same name already exists."
"Error while saving this group. Please try again later.","Error while saving this group. Please try again later."
"Exclude","استثناء"
"Expand All","Expand All"
"Failed","فشل"
"Failed to move file: %s","Failed to move file: %s"
"Feature Products","Feature Products"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Filter model name must be declared"
"Filter must be as object. Set correct filter please","Filter must be as object. Set correct filter please"
"Filterable (no results)","Filterable (no results)"
"Filterable (with results)","Filterable (with results)"
