"Target","Target"
"Target Type","Target Type"
"Target Amount","Target Amount"
"Action","Action"
"Action Type","Action Type"
"Action Amount","Action Amount"
"Rule Settings","Rule Settings"
"Processing priority","Processing priority"
"Priority","Priority"
"Rule applies","Rule applies"
"Triggers limit","Triggers limit"
"Discount usage limit","Discount usage limit"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Save And Continue Edit","Save And Continue Edit"
"Edit Rule","Edit Rule"
"Add Rule","Add Rule"
"Triggers","Triggers"
"Usage limit","Usage limit"
"Edit","Edit"
"Are you sure?","هل أنت متأكد؟"
"Manage Rules","Manage Rules"
"ID","ID"
"Customer full name","اسم الصديق"
"Customer Full Name","اسم الصديق"
"Customer email","بريد صديقك الإلكتروني"
"Customer Email","بريد صديقك الإلكتروني"
"Referrals sent","الدعوات المرسلة"
"Referrals signed up","الأصدقاء الذين اشتركوا"
"Referrals purchase quantity","مجموع مشتريات الأصدقاء المدعوين"
"Referrals Total","مجموع الدعوات"
"Statistics","إحصائيات"
"Referral for %s","Referral for %s"
"Hi, I have tried Khodarji.com services and I believe you will highly like it, they have fresh Fruits & Vegetables with free delivery to you door, click on the below link to sign up now.","مرحبا، لقد قمت بتجربة خدمات موقع jordanshopper.com وأعتقد أنك سوف تحبها أيضاً. لديهم خضار وفواكه طازجة مع خدمة التوصيل المجاني لباب المنزل، اضغظ على الرباط من أجل تجربة خدماتهم الآن."
"Referred Friends","ادع أصدقائك"
"Rule Configuration","Rule Configuration"
"Rule does not exist","Rule does not exist"
"Unable to find rule to save","Unable to find rule to save"
"Please select rule(s)","Please select rule(s)"
"Total of %d rule(s) were successfully deleted","Total of %d rule(s) were successfully deleted"
"You qualify for a discount! The discount of <b>%s</b> will be applied to your next purchase","لقد حصلت على خصم <b>%s</b>، تستطيع استخدام هذا الخصم في طلب الشراء القادم على موقع jordanshopper.com"
"Please log in.","يرجى تسجيل الدخول."
"Message to a friend was sent.","تم إرسال الرسالة إلى صديق بنجاح."
"Some problems with data.","حصل خطأ في المعلومات المدخلة."
"Some emails were not sent.","بعض الايميلات لم ترسل بنجاح."
"Your %s discount for referred friends","خصم %s لدعوتك صديق"
"%s has been already referred.","%s تم دعوته سابقاً."
"This customer is already registered.","هذا الزبون لديه حساب على موقع jordanshopper.com."
"You cannot invite yourself.","لا يمكنك دعوة نفسك."
"Subject can't be empty","يرجى تعبئة العنوان"
"Message can't be empty","يرجى تعبئة نص الرسالة"
"Email address is invalid","بريد إلكتروني غير صحيح"
"Email template is not specified by administrator","Email template is not specified by administrator"
"Signups quantity","عدد الإشتراكات"
"Purchased items quantity","عدد الأصناف المشتراة"
"Purchase amount","مبلغ الشراء"
"Apply flat rate fixed discount","Apply flat rate fixed discount"
"Apply fixed % discount","Apply fixed % discount"
"Apply % from all referrals purchases","Apply % from all referrals purchases"
"Per customer","Per customer"
"For all referred customers","For all referred customers"
"Refer a Friend invitation","Refer a Friend invitation"
"Refer a Friend","ادع أصدقائك"
"Invitation","دعوة"
